Type, Run, Ratio, Test1, Test2
3840x2160, 13, 16:9, 21.81, 21.21
3840x2160, 13, 21:9, 23.23, 22.05
3840x2160, 13, 9:16, 23.40, 21.67
3840x2160, 14, 4:3, 21.69, 21.35
3840x2160, 14, 5:4, 22.26, 21.68
3840x2160, 14, 16:10, 22.20, 21.50
3840x2160, 14, 16:9, 21.82, 21.21
3840x2160, 14, 21:9, 23.21, 22.07
3840x2160, 14, 9:16, 23.43, 21.66
3840x2160, 15, 4:3, 21.83, 21.36
3840x2160, 15, 5:4, 22.39, 21.61
3840x2160, 15, 16:10, 22.34, 21.49
3840x2160, 15, 16:9, 21.79, 21.21
3840x2160, 15, 21:9, 23.22, 22.05
3840x2160, 15, 9:16, 23.43, 21.67
3840x2160, 2, 4:3, 21.78, 21.34
3840x2160, 2, 5:4, 22.24, 21.60
3840x2160, 2, 16:10, 22.28, 21.45
3840x2160, 2, 16:9, 21.62, 21.14
3840x2160, 2, 21:9, 23.19, 22.03
3840x2160, 2, 9:16, 23.24, 21.66
3840x2160, 3, 4:3, 21.69, 21.34
3840x2160, 3, 5:4, 22.21, 21.59
3840x2160, 3, 16:10, 22.33, 21.45
3840x2160, 3, 16:9, 21.62, 21.18
3840x2160, 3, 21:9, 23.21, 22.06
3840x2160, 3, 9:16, 23.38, 21.66
3840x2160, 4, 4:3, 21.84, 21.34
3840x2160, 4, 5:4, 22.34, 21.64
3840x2160, 4, 16:10, 22.22, 21.45
3840x2160, 4, 16:9, 21.82, 21.18
3840x2160, 4, 21:9, 23.22, 22.05
3840x2160, 4, 9:16, 23.25, 21.66
3840x2160, 5, 4:3, 21.84, 21.33
3840x2160, 5, 5:4, 22.22, 21.65
3840x2160, 5, 16:10, 22.20, 21.51
3840x2160, 5, 16:9, 21.67, 21.20
3840x2160, 5, 21:9, 23.20, 22.04
3840x2160, 5, 9:16, 23.28, 21.66
3840x2160, 6, 4:3, 21.70, 21.36
3840x2160, 6, 5:4, 22.37, 21.69
3840x2160, 6, 16:10, 22.38, 21.49
3840x2160, 6, 16:9, 21.84, 21.21
3840x2160, 6, 21:9, 23.06, 22.04
3840x2160, 6, 9:16, 23.38, 21.66
3840x2160, 7, 4:3, 21.68, 21.34
3840x2160, 7, 5:4, 22.37, 21.60
3840x2160, 7, 16:10, 22.33, 21.45
3840x2160, 7, 16:9, 21.82, 21.21
3840x2160, 7, 21:9, 23.11, 22.06
3840x2160, 7, 9:16, 23.45, 21.67
3840x2160, 8, 4:3, 21.85, 21.37
3840x2160, 8, 5:4, 22.19, 21.70
3840x2160, 8, 16:10, 22.30, 21.51
3840x2160, 8, 16:9, 21.71, 21.21
3840x2160, 8, 21:9, 23.07, 22.06
3840x2160, 8, 9:16, 23.42, 21.67
3840x2160, 9, 4:3, 21.84, 21.33
3840x2160, 9, 5:4, 22.37, 21.68
3840x2160, 9, 16:10, 22.29, 21.49
3840x2160, 9, 16:9, 21.70, 21.17
3840x2160, 9, 21:9, 23.22, 22.04
3840x2160, 9, 9:16, 23.26, 21.68
5120x2880, 1, 4:3, 13.47, 13.18
5120x2880, 1, 5:4, 13.06, 12.79
5120x2880, 1, 16:10, 12.99, 12.75
5120x2880, 1, 16:9, 13.57, 13.27
5120x2880, 1, 21:9, 13.28, 13.07
5120x2880, 1, 9:16, 14.37, 13.39
5120x2880, 10, 4:3, 12.93, 12.73
5120x2880, 10, 5:4, 13.14, 12.82
5120x2880, 10, 16:10, 13.03, 12.79
5120x2880, 10, 16:9, 12.70, 12.63
5120x2880, 10, 21:9, 13.07, 12.77
5120x2880, 10, 9:16, 13.98, 13.03
5120x2880, 11, 4:3, 12.94, 12.72
5120x2880, 11, 5:4, 13.23, 12.85
5120x2880, 11, 16:10, 13.03, 12.80
5120x2880, 11, 16:9, 12.69, 12.64
5120x2880, 11, 21:9, 13.07, 12.75
5120x2880, 11, 9:16, 13.95, 13.00
5120x2880, 12, 4:3, 12.92, 12.72
5120x2880, 12, 5:4, 13.24, 12.84
5120x2880, 12, 16:10, 13.03, 12.79
5120x2880, 12, 16:9, 12.71, 12.63
5120x2880, 12, 21:9, 13.05, 12.75
5120x2880, 12, 9:16, 13.86, 13.02
5120x2880, 13, 4:3, 12.94, 12.71
5120x2880, 13, 5:4, 13.24, 12.83
5120x2880, 13, 16:10, 12.94, 12.79
5120x2880, 13, 16:9, 12.61, 12.64
5120x2880, 13, 21:9, 13.03, 12.75
5120x2880, 13, 9:16, 13.92, 13.00
5120x2880, 14, 4:3, 13.04, 12.69
5120x2880, 14, 5:4, 13.24, 12.86
5120x2880, 14, 16:10, 13.05, 12.80
5120x2880, 14, 16:9, 12.59, 12.62
5120x2880, 14, 21:9, 13.11, 12.76
5120x2880, 14, 9:16, 14.00, 12.97
5120x2880, 15, 4:3, 12.93, 12.70
5120x2880, 15, 5:4, 13.16, 12.84
5120x2880, 15, 16:10, 13.03, 12.79
5120x2880, 15, 16:9, 12.67, 12.62
5120x2880, 15, 21:9, 13.04, 12.73
5120x2880, 15, 9:16, 13.91, 13.00
5120x2880, 2, 4:3, 13.05, 12.95
5120x2880, 2, 5:4, 13.23, 12.80
5120x2880, 2, 16:10, 12.99, 12.77
5120x2880, 2, 16:9, 13.03, 12.89
